TRADE_DATE,OPEN,LAST,HIGH,LOW,HIGHLOW_TICKS,VOLUME,AVGVOL30D,EQY_BETA
20180102,231.50,232.50,232.50,231.00,3,18055269,22187592,1.0950
20180103,236.00,237.00,238.00,235.50,5,31706089,22187592,1.0890
20180104,240.00,239.50,240.00,236.50,7,29179613,22187592,1.0890
20180105,240.00,240.00,240.00,238.00,4,23721255,22187592,1.0990
20180108,242.00,242.00,242.50,240.50,4,21846692,22187592,1.0990
20180109,242.00,242.00,242.00,239.50,5,19043123,22187592,1.0990
20180110,241.50,236.50,242.00,236.00,12,25716220,22187592,1.1200
20180111,235.00,235.00,236.00,232.50,7,32070338,22187592,1.1200
20180112,234.50,237.00,238.00,233.50,9,23141291,22187592,1.1220
20180115,240.00,240.00,240.00,238.00,4,28576533,22187592,1.1220
20180116,240.00,240.50,240.50,238.00,5,23407632,22187592,1.1220
20180117,240.50,242.00,243.00,239.00,8,38118119,22187592,1.1230
20180118,245.00,248.50,250.00,245.00,10,50119952,22187592,1.1230
20180119,253.50,255.50,255.50,251.50,8,55061292,22187592,1.1500
20180122,257.50,261.50,262.00,257.00,10,45907510,22187592,1.1500
20180123,262.50,266.00,266.00,262.50,7,34606443,22187592,1.1500
20180124,263.00,258.00,263.00,256.50,13,42600813,22187592,1.2020
20180125,258.00,258.00,264.00,256.50,15,46214757,28198746,1.2020
20180126,256.50,255.00,257.50,253.50,8,43514523,29073786,1.2030
20180129,259.00,258.50,261.50,255.00,13,31306234,28693135,1.2030
20180130,256.00,253.00,257.50,252.50,10,37410591,29416733,1.2030
20180131,253.00,255.00,257.50,252.00,11,44136808,30024655,1.2190
20180201,257.50,259.50,261.00,257.00,8,30559457,29892826,1.2190
20180202,259.00,259.50,260.00,255.00,10,25707560,30055539,1.2160
20180205,251.00,253.00,254.50,250.50,8,45594379,30938469,1.2160
20180206,242.50,239.00,243.50,234.00,19,104448048,34267415,1.2160
20180207,245.00,240.00,245.50,239.50,12,82299179,36552193,1.2250
20180208,239.50,238.50,242.00,238.00,8,31192550,37174769,1.2250
20180209,230.00,232.50,233.00,228.50,9,65939265,38560399,1.2520
20180212,235.50,236.50,237.50,235.00,5,42917236,39137292,1.2520
20180221,244.50,242.50,244.50,242.00,5,76396173,41081989,1.2580
20180222,244.00,239.50,244.00,239.00,10,45492993,41541553,1.2580
20180223,241.00,245.00,245.00,241.00,8,26985776,41468425,1.2460
20180226,247.00,246.50,247.50,245.00,5,36165810,41883243,1.2460
20180227,250.50,246.00,250.50,246.00,9,44699119,42644991,1.2460
20180301,244.00,243.00,245.00,242.00,6,43847984,43471820,1.2560
20180302,240.00,240.00,241.00,238.50,5,35289170,43790918,1.2580
20180305,242.50,241.50,243.00,240.50,5,27337846,43633168,1.2580
