Date,Open,High,Low,Close,Volume,Return,CumulativeReturn
1-3-00,1469.25,1478,1438.359985,1455.219971,931800000,0,0
1-4-00,1455.219971,1455.219971,1397.430054,1399.420044,1009000000,-0.03834466824,-0.03834466824
1-5-00,1399.420044,1413.27002,1377.680054,1402.109985,1085500000,0.001922182701,-0.03649619099
1-6-00,1402.109985,1411.900024,1392.099976,1403.449951,1092300000,0.000955678238,-0.03557539137
1-7-00,1403.449951,1441.469971,1400.72998,1441.469971,1225200000,0.02709039961,-0.009448743334
1-10-00,1441.469971,1464.359985,1441.469971,1457.599976,1064800000,0.01118996949,0.001635495009
1-11-00,1457.599976,1458.660034,1434.420044,1438.560059,1014000000,-0.01306251188,-0.01144838054
1-12-00,1438.560059,1442.599976,1427.079956,1432.25,974600000,-0.004386371609,-0.0157845353
13-01-00,1432.25,1454.199951,1432.25,1449.680054,1030400000,0.01216970082,-0.003806927551
14-01-00,1449.680054,1473,1449.680054,1465.150024,1085900000,0.01067129948,0.006823747061
18-01-00,1465.150024,1465.150024,1451.300049,1455.140015,1056700000,-0.006832071007,-0.00005494427069
19-01-00,1455.140015,1461.390015,1448.680054,1455.900024,1087800000,0.000522292695,0.0004673197273
20-01-00,1455.900024,1465.709961,1438.540039,1445.569946,1100700000,-0.00709532099,-0.006631317046
21-01-00,1445.569946,1453.180054,1439.599976,1441.359985,1209800000,-0.002912319125,-0.00952432366
24-01-00,1441.359985,1454.089966,1395.420044,1401.530029,1115800000,-0.02763359356,-0.03689472593
25-01-00,1401.530029,1414.26001,1388.48999,1410.030029,1073700000,0.006064800485,-0.0310536846
26-01-00,1410.030029,1412.72998,1400.160034,1404.089966,1117300000,-0.004212720919,-0.03513558501
27-01-00,1404.089966,1418.859985,1370.98999,1398.560059,1129500000,-0.003938427831,-0.03893563388
28-01-00,1398.560059,1398.560059,1356.199951,1360.160034,1095800000,-0.02745682944,-0.06532341426
31-01-00,1360.160034,1394.47998,1350.140015,1394.459961,993800000,0.02521756716,-0.04175314469
2-1-00,1394.459961,1412.48999,1384.790039,1409.280029,981000000,0.01062781895,-0.0315690706
2-2-00,1409.280029,1420.609985,1403.48999,1409.119995,1038600000,-0.0001135572751,-0.03167904298
2-3-00,1409.119995,1425.780029,1398.52002,1424.969971,1146500000,0.01124813788,-0.02078723533
2-4-00,1424.969971,1435.910034,1420.630005,1424.369995,1045100000,-0.0004210446621,-0.02119952764
2-7-00,1424.369995,1427.150024,1413.329956,1424.23999,918100000,-0.00009127193107,-0.02128886465
2-8-00,1424.23999,1441.829956,1424.23999,1441.719971,1047700000,0.01227319913,-0.009276948
2-9-00,1441.719971,1444.550049,1411.650024,1411.709961,1050500000,-0.02081542228,-0.02989926669
2-10-00,1411.699951,1422.099976,1406.430054,1416.829956,1058800000,0.003626803764,-0.0263809017
2-11-00,1416.829956,1416.829956,1378.890015,1387.119995,1025700000,-0.02096932019,-0.04679703231
14-02-00,1387.119995,1394.930054,1380.530029,1389.939941,927300000,0.002032950293,-0.04485921806
15-02-00,1389.939941,1407.719971,1376.25,1402.050049,1092100000,0.008712684371,-0.03653737789
16-02-00,1402.050049,1404.550049,1385.579956,1387.670044,1018800000,-0.01025641346,-0.0464190489
17-02-00,1387.670044,1399.880005,1380.069946,1388.26001,1034800000,0.000425148617,-0.04601363528
18-02-00,1388.26001,1388.589966,1345.319946,1346.089966,1042300000,-0.0303761858,-0.07499210235
22-02-00,1346.089966,1358.109985,1331.880005,1352.170044,980000000,0.004516843713,-0.07081398624
23-02-00,1352.170044,1370.109985,1342.439941,1360.689941,993700000,0.006300906486,-0.06495927206
24-02-00,1360.689941,1364.800049,1329.880005,1353.430054,1215000000,-0.005335445483,-0.06994813089
25-02-00,1353.430054,1362.140015,1329.150024,1333.359985,1065200000,-0.01482904044,-0.08373990766
28-02-00,1333.359985,1360.819946,1325.069946,1348.050049,1026500000,0.01101732778,-0.0736451699
29-02-00,1348.050049,1369.630005,1348.050049,1366.420044,1204300000,0.01362708678,-0.06102165224
3-1-00,1366.420044,1383.459961,1366.420044,1379.189941,1274100000,0.009345513524,-0.05224641739
3-2-00,1379.189941,1386.560059,1370.349976,1381.76001,1198600000,0.001863462692,-0.05048031395
3-3-00,1381.76001,1410.880005,1381.76001,1409.170044,1150300000,0.01983704392,-0.03164465024
3-6-00,1409.170044,1409.73999,1384.75,1391.280029,1029000000,-0.0126954267,-0.0439383346
3-7-00,1391.280029,1399.209961,1349.98999,1355.619995,1314100000,-0.02563109745,-0.06844324431
3-8-00,1355.619995,1373.790039,1346.619995,1366.699951,1203000000,0.008173349494,-0.06082930537
3-9-00,1366.699951,1401.819946,1357.880005,1401.689941,1123000000,0.02560180819,-0.03678483739
3-10-00,1401.689941,1413.459961,1392.069946,1395.069946,1138800000,-0.004722866881,-0.04133397438
13-03-00,1395.069946,1398.390015,1364.839966,1383.619995,1016100000,-0.008207438654,-0.04920216698
14-03-00,1383.619995,1395.150024,1359.150024,1359.150024,1094000000,-0.01768547079,-0.06601747428
15-03-00,1359.150024,1397.98999,1356.98999,1392.140015,1302800000,0.02427251622,-0.04334736827
16-03-00,1392.150024,1458.469971,1392.150024,1458.469971,1482300000,0.04764603796,0.002233339333
17-03-00,1458.469971,1477.329956,1453.319946,1464.469971,1295100000,0.004113900265,0.006356427334
20-03-00,1464.469971,1470.300049,1448.48999,1456.630005,920800000,-0.005353449477,0.0009689490442
21-03-00,1456.630005,1493.920044,1446.060059,1493.869995,1065900000,0.02556585397,0.02655957503
22-03-00,1493.869995,1505.079956,1487.329956,1500.640015,1075000000,0.004531866911,0.0312118064
23-03-00,1500.640015,1532.5,1492.390015,1527.349976,1078300000,0.01779904623,0.04956639301
24-03-00,1527.349976,1552.869995,1516.829956,1527.459961,1052200000,0.00007201034585,0.04964197265
27-03-00,1527.459961,1534.630005,1518.459961,1523.859985,901000000,-0.00235683821,0.04716813634
28-03-00,1523.859985,1527.359985,1507.089966,1507.72998,959100000,-0.01058496526,0.036083898
29-03-00,1507.72998,1521.449951,1497.449951,1508.52002,1061900000,0.0005239930296,0.03662679874
30-03-00,1508.52002,1517.380005,1474.630005,1487.920044,1193400000,-0.01365575248,0.02247087977
31-03-00,1487.920044,1519.810059,1484.380005,1498.579956,1227400000,0.007164304321,0.02979617231
4-3-00,1498.579956,1507.189941,1486.959961,1505.969971,1021700000,0.004931345151,0.03487445267
4-4-00,1505.97998,1526.449951,1416.410034,1494.72998,1515460000,-0.007463622261,0.02715054067
4-5-00,1494.72998,1506.550049,1478.050049,1487.369995,1110300000,-0.004923956232,0.02209289636
4-6-00,1487.369995,1511.76001,1487.369995,1501.339966,1008000000,0.009392398023,0.03169279966
4-7-00,1501.339966,1518.680054,1501.339966,1516.349976,891600000,0.009997742244,0.04200739834
4-10-00,1516.349976,1527.189941,1503.349976,1504.459961,853700000,-0.007841207629,0.03383680198
4-11-00,1504.459961,1512.800049,1486.780029,1500.589966,971400000,-0.002572348285,0.03117741366
4-12-00,1500.589966,1509.079956,1466.150024,1467.170044,1175900000,-0.0222711885,0.008211867098
13-04-00,1467.170044,1477.52002,1439.339966,1440.51001,1032000000,-0.01817105939,-0.01010841061
14-04-00,1440.51001,1440.51001,1339.400024,1356.560059,1279700000,-0.05827793658,-0.06779724988
17-04-00,1356.560059,1401.530029,1346.5,1401.439941,1204700000,0.03308359383,-0.03695663272
18-04-00,1401.439941,1441.609985,1397.810059,1441.609985,1109400000,0.02866340742,-0.009352528326
19-04-00,1441.609985,1447.689941,1424.26001,1427.469971,1001400000,-0.009808487835,-0.019069282
20-04-00,1427.469971,1435.48999,1422.079956,1434.540039,896200000,0.004952866361,-0.01421086325
24-04-00,1434.540039,1434.540039,1407.130005,1429.859985,868700000,-0.003262407373,-0.01742690899
25-04-00,1429.859985,1477.670044,1429.859985,1477.439941,1071100000,0.03327595464,0.01526914861
26-04-00,1477.439941,1482.939941,1456.97998,1460.98999,999600000,-0.01113409117,0.00396504935
27-04-00,1460.98999,1469.209961,1434.810059,1464.920044,1111000000,0.00268999379,0.006665709098
28-04-00,1464.920044,1473.619995,1448.150024,1452.430054,984600000,-0.008526055774,-0.001917178884
5-1-00,1452.430054,1481.51001,1452.430054,1468.25,966300000,0.0108920536,0.008953992702
5-2-00,1468.25,1468.25,1445.219971,1446.290039,1011500000,-0.0149565544,-0.006136482579
5-3-00,1446.290039,1446.290039,1398.359985,1415.099976,991600000,-0.0215655658,-0.02756971166
5-4-00,1415.099976,1420.98999,1404.939941,1409.569946,925800000,-0.003907872301,-0.03136984505
5-5-00,1409.569946,1436.030029,1405.079956,1432.630005,805500000,0.01635964151,-0.01552340296
5-8-00,1432.630005,1432.630005,1417.050049,1424.170044,787600000,-0.005905196017,-0.02133693024
5-9-00,1424.170044,1430.280029,1401.849976,1412.140015,896600000,-0.008447045387,-0.02960374161
5-10-00,1412.140015,1412.140015,1375.140015,1383.050049,1006400000,-0.02059991622,-0.04959382323
5-11-00,1383.050049,1410.26001,1383.050049,1407.810059,953600000,0.01790246855,-0.03257920654
5-12-00,1407.810059,1430.130005,1407.810059,1420.959961,858200000,0.009340679104,-0.02354283935
15-05-00,1420.959961,1452.390015,1416.540039,1452.359985,854600000,0.02209775424,-0.001965328993
16-05-00,1452.359985,1470.400024,1450.76001,1466.040039,955500000,0.009419189554,0.007435348755
17-05-00,1466.040039,1466.040039,1441.670044,1447.800049,820500000,-0.01244167247,-0.005098831893
18-05-00,1447.800049,1458.040039,1436.589966,1437.209961,807900000,-0.007314606742,-0.01237614269
19-05-00,1437.209961,1437.209961,1401.73999,1406.949951,853700000,-0.02105468987,-0.0331702567
22-05-00,1406.949951,1410.550049,1368.72998,1400.719971,869000000,-0.004428003992,-0.03745138267
23-05-00,1400.719971,1403.77002,1373.430054,1373.859985,869900000,-0.01917584282,-0.05590906366
24-05-00,1373.859985,1401.75,1361.089966,1399.050049,1152300000,0.01833524833,-0.03859892189
25-05-00,1399.050049,1411.650024,1373.930054,1381.52002,984500000,-0.01252995131,-0.0506452306
26-05-00,1381.52002,1391.420044,1369.75,1378.02002,722600000,-0.00253344139,-0.05305036526
30-05-00,1378.02002,1422.449951,1378.02002,1422.449951,844200000,0.03224186177,-0.02251894604
31-05-00,1422.439941,1434.48999,1415.5,1420.599976,960500000,-0.001300555425,-0.02379021432
6-1-00,1420.599976,1448.810059,1420.599976,1448.810059,960100000,0.01985786532,-0.004404771875
6-2-00,1448.810059,1483.22998,1448.810059,1477.26001,1162400000,0.01963677076,0.01514550339
6-5-00,1477.26001,1477.280029,1464.680054,1467.630005,838600000,-0.006518828733,0.008527943711
6-6-00,1467.630005,1471.359985,1454.73999,1457.839966,950100000,-0.006670645167,0.001800411657
6-7-00,1457.839966,1474.640015,1455.060059,1471.359985,854600000,0.009274007652,0.01109111634
6-8-00,1471.359985,1475.650024,1456.48999,1461.670044,854300000,-0.00658570377,0.004432369764
6-9-00,1461.670044,1472.670044,1454.959961,1456.949951,786000000,-0.003229246586,0.001188809963
6-12-00,1456.949951,1462.930054,1445.98999,1446,774100000,-0.007515667228,-0.006335791965
13-06-00,1446,1470.420044,1442.380005,1469.439941,935900000,0.01621019433,0.009771697945
14-06-00,1469.439941,1483.619995,1467.709961,1470.540039,929700000,0.0007486512169,0.01052766476
15-06-00,1470.540039,1482.040039,1464.619995,1478.72998,1011400000,0.005569342407,0.01615563933
16-06-00,1478.72998,1480.77002,1460.420044,1464.459961,1250800000,-0.009650185763,0.006349548648
19-06-00,1464.459961,1488.930054,1459.050049,1486,921700000,0.01470852026,0.02115146137
20-06-00,1486,1487.319946,1470.180054,1475.949951,1031500000,-0.006763155451,0.0142452553
21-06-00,1475.949951,1482.189941,1468,1479.130005,1009600000,0.002154581189,0.01643052904
22-06-00,1479.130005,1479.130005,1448.030029,1452.180054,1022700000,-0.01822013678,-0.002088974217
23-06-00,1452.180054,1459.939941,1438.310059,1441.47998,847600000,-0.007368283272,-0.009441865336
26-06-00,1441.47998,1459.660034,1441.47998,1455.310059,889000000,0.00959436079,0.00006190679196
27-06-00,1455.310059,1463.349976,1450.550049,1450.550049,1042500000,-0.003270787535,-0.003209083227
28-06-00,1450.550049,1467.630005,1450.550049,1454.819946,1095100000,0.002943639899,-0.0002748897129
29-06-00,1454.819946,1455.140015,1434.630005,1442.390015,1110900000,-0.008543965206,-0.008816506271
30-06-00,1442.390015,1454.680054,1438.709961,1454.599976,1459700000,0.008465089798,-0.0004260489908
7-3-00,1454.599976,1469.579956,1450.849976,1469.540039,451900000,0.01027090832,0.009840483422
7-5-00,1469.540039,1469.540039,1442.449951,1446.22998,1019300000,-0.01586214624,-0.006177754002
7-6-00,1446.22998,1461.650024,1439.560059,1456.670044,947300000,0.007218813152,0.0009964630976
7-7-00,1456.670044,1484.119995,1456.670044,1478.900024,931700000,0.01526082045,0.01627249039
7-10-00,1478.900024,1486.560059,1474.76001,1475.619995,838700000,-0.002217884202,0.01401851569
7-11-00,1475.619995,1488.77002,1470.47998,1480.880005,980500000,0.003564610142,0.01763309638
7-12-00,1480.880005,1497.689941,1480.880005,1492.920044,1001200000,0.00813032721,0.02590678643
13-07-00,1492.920044,1501.390015,1489.650024,1495.839966,1026800000,0.001955846203,0.02791330233
14-07-00,1495.839966,1509.98999,1494.560059,1509.97998,960600000,0.009452892235,0.037630056
17-07-00,1509.97998,1517.319946,1505.26001,1510.48999,906000000,0.000337759445,0.03798052535
18-07-00,1510.48999,1510.48999,1491.349976,1493.73999,908300000,-0.01108911685,0.02647023802
19-07-00,1493.73999,1495.630005,1479.920044,1481.959961,909400000,-0.007886264731,0.01837522198
20-07-00,1481.959961,1501.920044,1481.959961,1495.569946,1064600000,0.009183773758,0.02772774962
21-07-00,1495.569946,1495.569946,1477.910034,1480.189941,968300000,-0.01028370826,0.01715889728
24-07-00,1480.189941,1485.880005,1463.800049,1464.290039,880300000,-0.01074179844,0.006232781422
